imageName,imagePath,class,height,width
06796.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06796.jpg,Dodge Dakota Crew Cab 2010,312,416
04157.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/04157.jpg,Dodge Dakota Crew Cab 2010,194,259
00682.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/00682.jpg,Dodge Dakota Crew Cab 2010,240,320
07660.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/07660.jpg,Dodge Dakota Crew Cab 2010,768,1024
00483.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/00483.jpg,Dodge Dakota Crew Cab 2010,360,640
06019.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06019.jpg,Dodge Dakota Crew Cab 2010,198,264
01212.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/01212.jpg,Dodge Dakota Crew Cab 2010,925,1600
04420.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/04420.jpg,Dodge Dakota Crew Cab 2010,360,480
01766.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/01766.jpg,Dodge Dakota Crew Cab 2010,391,625
07260.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/07260.jpg,Dodge Dakota Crew Cab 2010,183,275
03984.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/03984.jpg,Dodge Dakota Crew Cab 2010,225,300
03577.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/03577.jpg,Dodge Dakota Crew Cab 2010,360,480
01837.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/01837.jpg,Dodge Dakota Crew Cab 2010,360,480
02790.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/02790.jpg,Dodge Dakota Crew Cab 2010,194,259
04888.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/04888.jpg,Dodge Dakota Crew Cab 2010,194,259
05003.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05003.jpg,Dodge Dakota Crew Cab 2010,182,277
08090.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/08090.jpg,Dodge Dakota Crew Cab 2010,480,640
02622.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/02622.jpg,Dodge Dakota Crew Cab 2010,194,259
06691.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06691.jpg,Dodge Dakota Crew Cab 2010,113,150
05575.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05575.jpg,Dodge Dakota Crew Cab 2010,194,259
05960.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05960.jpg,Dodge Dakota Crew Cab 2010,299,601
05989.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05989.jpg,Dodge Dakota Crew Cab 2010,768,1024
07556.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/07556.jpg,Dodge Dakota Crew Cab 2010,194,259
02761.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/02761.jpg,Dodge Dakota Crew Cab 2010,448,672
06711.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06711.jpg,Dodge Dakota Crew Cab 2010,225,450
07552.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/07552.jpg,Dodge Dakota Crew Cab 2010,136,200
01137.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/01137.jpg,Dodge Dakota Crew Cab 2010,563,750
03132.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/03132.jpg,Dodge Dakota Crew Cab 2010,225,300
02012.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/02012.jpg,Dodge Dakota Crew Cab 2010,360,480
06248.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06248.jpg,Dodge Dakota Crew Cab 2010,264,396
03078.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/03078.jpg,Dodge Dakota Crew Cab 2010,194,259
00202.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/00202.jpg,Dodge Dakota Crew Cab 2010,1067,1600
04598.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/04598.jpg,Dodge Dakota Crew Cab 2010,408,544
00059.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/00059.jpg,Dodge Dakota Crew Cab 2010,480,640
07044.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/07044.jpg,Dodge Dakota Crew Cab 2010,194,259
05653.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05653.jpg,Dodge Dakota Crew Cab 2010,768,1024
05723.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05723.jpg,Dodge Dakota Crew Cab 2010,768,1024
03420.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/03420.jpg,Dodge Dakota Crew Cab 2010,166,300
06564.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/06564.jpg,Dodge Dakota Crew Cab 2010,225,300
05496.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05496.jpg,Dodge Dakota Crew Cab 2010,480,640
05046.jpg,Dataset/Car Images/Train Images/Dodge Dakota Crew Cab 2010/05046.jpg,Dodge Dakota Crew Cab 2010,1200,1600
05704.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/05704.jpg,GMC Canyon Extended Cab 2012,194,259
01172.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01172.jpg,GMC Canyon Extended Cab 2012,360,480
00907.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00907.jpg,GMC Canyon Extended Cab 2012,360,480
00696.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00696.jpg,GMC Canyon Extended Cab 2012,431,575
05925.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/05925.jpg,GMC Canyon Extended Cab 2012,360,480
01174.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01174.jpg,GMC Canyon Extended Cab 2012,184,275
00068.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00068.jpg,GMC Canyon Extended Cab 2012,438,640
03789.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/03789.jpg,GMC Canyon Extended Cab 2012,180,280
07300.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/07300.jpg,GMC Canyon Extended Cab 2012,768,1024
03166.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/03166.jpg,GMC Canyon Extended Cab 2012,450,798
04147.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/04147.jpg,GMC Canyon Extended Cab 2012,400,640
00095.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00095.jpg,GMC Canyon Extended Cab 2012,782,1280
04387.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/04387.jpg,GMC Canyon Extended Cab 2012,480,640
06584.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/06584.jpg,GMC Canyon Extended Cab 2012,360,480
00136.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00136.jpg,GMC Canyon Extended Cab 2012,225,300
05714.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/05714.jpg,GMC Canyon Extended Cab 2012,300,800
00541.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00541.jpg,GMC Canyon Extended Cab 2012,225,300
07776.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/07776.jpg,GMC Canyon Extended Cab 2012,360,480
02196.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/02196.jpg,GMC Canyon Extended Cab 2012,540,720
00178.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00178.jpg,GMC Canyon Extended Cab 2012,168,300
01266.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01266.jpg,GMC Canyon Extended Cab 2012,450,600
03473.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/03473.jpg,GMC Canyon Extended Cab 2012,480,720
06446.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/06446.jpg,GMC Canyon Extended Cab 2012,598,900
05166.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/05166.jpg,GMC Canyon Extended Cab 2012,421,640
01869.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01869.jpg,GMC Canyon Extended Cab 2012,194,259
03924.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/03924.jpg,GMC Canyon Extended Cab 2012,768,1024
06337.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/06337.jpg,GMC Canyon Extended Cab 2012,338,600
06256.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/06256.jpg,GMC Canyon Extended Cab 2012,166,300
04504.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/04504.jpg,GMC Canyon Extended Cab 2012,329,438
01454.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01454.jpg,GMC Canyon Extended Cab 2012,225,300
01655.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01655.jpg,GMC Canyon Extended Cab 2012,469,750
