filename,imgname,height,width,class,xmin,ymin,xmax,ymax,label
Audi TTS Coupe 2012/00001.jpg,00001.jpg,400,600,Audi TTS Coupe 2012,39,116,569,375,14
Acura TL Sedan 2012/00002.jpg,00002.jpg,675,900,Acura TL Sedan 2012,36,116,868,587,3
Dodge Dakota Club Cab 2007/00003.jpg,00003.jpg,480,640,Dodge Dakota Club Cab 2007,85,109,601,381,91
Hyundai Sonata Hybrid Sedan 2012/00004.jpg,00004.jpg,1386,2100,Hyundai Sonata Hybrid Sedan 2012,621,393,1484,1096,134
Ford F-450 Super Duty Crew Cab 2012/00005.jpg,00005.jpg,108,144,Ford F-450 Super Duty Crew Cab 2012,14,36,133,99,106
Geo Metro Convertible 1993/00006.jpg,00006.jpg,431,575,Geo Metro Convertible 1993,259,289,515,416,123
Dodge Journey SUV 2012/00007.jpg,00007.jpg,480,640,Dodge Journey SUV 2012,88,80,541,397,89
Dodge Charger Sedan 2012/00008.jpg,00008.jpg,480,639,Dodge Charger Sedan 2012,73,79,591,410,96
Mitsubishi Lancer Sedan 2012/00009.jpg,00009.jpg,843,1280,Mitsubishi Lancer Sedan 2012,20,126,1269,771,167
Chevrolet Traverse SUV 2012/00010.jpg,00010.jpg,480,640,Chevrolet Traverse SUV 2012,21,110,623,367,58
Buick Verano Sedan 2012/00011.jpg,00011.jpg,424,640,Buick Verano Sedan 2012,51,93,601,393,49
Toyota Sequoia SUV 2012/00012.jpg,00012.jpg,315,500,Toyota Sequoia SUV 2012,6,62,499,286,186
Hyundai Elantra Sedan 2007/00013.jpg,00013.jpg,335,500,Hyundai Elantra Sedan 2007,30,36,418,307,135
Dodge Caravan Minivan 1997/00014.jpg,00014.jpg,600,800,Dodge Caravan Minivan 1997,31,246,778,540,85
Volvo C30 Hatchback 2012/00015.jpg,00015.jpg,424,640,Volvo C30 Hatchback 2012,32,77,589,379,193
Plymouth Neon Coupe 1999/00016.jpg,00016.jpg,480,640,Plymouth Neon Coupe 1999,27,49,611,396,172
Audi TTS Coupe 2012/00017.jpg,00017.jpg,194,259,Audi TTS Coupe 2012,39,52,233,150,14
Chevrolet Malibu Sedan 2007/00018.jpg,00018.jpg,147,200,Chevrolet Malibu Sedan 2007,3,8,190,147,73
Volkswagen Beetle Hatchback 2012/00019.jpg,00019.jpg,938,1500,Volkswagen Beetle Hatchback 2012,247,287,1366,761,192
Chevrolet Corvette Ron Fellows Edition Z06 2007/00020.jpg,00020.jpg,650,1000,Chevrolet Corvette Ron Fellows Edition Z06 2007,17,281,961,596,57
Chrysler 300 SRT-8 2010/00021.jpg,00021.jpg,469,750,Chrysler 300 SRT-8 2010,17,156,695,375,79
BMW M6 Convertible 2010/00022.jpg,00022.jpg,1386,2100,BMW M6 Convertible 2010,212,538,1893,1131,36
GMC Yukon Hybrid SUV 2012/00023.jpg,00023.jpg,270,500,GMC Yukon Hybrid SUV 2012,11,28,476,234,120
Nissan Juke Hatchback 2012/00024.jpg,00024.jpg,768,1024,Nissan Juke Hatchback 2012,53,126,973,621,170
Volvo 240 Sedan 1993/00025.jpg,00025.jpg,453,604,Volvo 240 Sedan 1993,34,87,567,343,194
Hyundai Sonata Hybrid Sedan 2012/00026.jpg,00026.jpg,417,628,Hyundai Sonata Hybrid Sedan 2012,30,174,598,379,134
Suzuki SX4 Sedan 2012/00027.jpg,00027.jpg,418,630,Suzuki SX4 Sedan 2012,80,107,606,336,184
Dodge Ram Pickup 3500 Crew Cab 2010/00028.jpg,00028.jpg,412,620,Dodge Ram Pickup 3500 Crew Cab 2010,45,115,585,382,86
Spyker C8 Coupe 2009/00029.jpg,00029.jpg,1200,1600,Spyker C8 Coupe 2009,28,139,1564,1126,180
Volvo 240 Sedan 1993/00030.jpg,00030.jpg,592,896,Volvo 240 Sedan 1993,82,109,874,521,194
Land Rover Range Rover SUV 2012/00031.jpg,00031.jpg,768,1024,Land Rover Range Rover SUV 2012,55,318,446,564,154
Hyundai Elantra Touring Hatchback 2012/00032.jpg,00032.jpg,375,500,Hyundai Elantra Touring Hatchback 2012,12,31,471,350,139
Chevrolet Cobalt SS 2010/00033.jpg,00033.jpg,768,1024,Chevrolet Cobalt SS 2010,34,197,1011,656,66
Hyundai Veracruz SUV 2012/00034.jpg,00034.jpg,480,640,Hyundai Veracruz SUV 2012,37,63,614,397,133
Land Rover Range Rover SUV 2012/00035.jpg,00035.jpg,816,1258,Land Rover Range Rover SUV 2012,223,87,1111,670,154
Ferrari 458 Italia Coupe 2012/00036.jpg,00036.jpg,250,580,Ferrari 458 Italia Coupe 2012,138,41,521,223,104
BMW Z4 Convertible 2012/00037.jpg,00037.jpg,425,640,BMW Z4 Convertible 2012,31,87,616,344,38
